config,rpm,AoA,CL,CLvar
f9_v3,200.0,20.0,0.6533615163022146,0.00033025410842479436
f9_v3,250.0,-5.0,-0.2291426139060771,8.356054728812017e-05
f9_v3,250.0,-4.0,-0.1671892527470147,8.533098166000208e-05
f9_v3,250.0,-3.0,-0.10581566970065717,7.391512708244437e-05
f9_v3,250.0,-2.0,-0.04010626657356214,7.111524590263964e-05
f9_v3,250.0,-1.0,0.023422500979472714,6.411769627250738e-05
f9_v3,250.0,0.0,0.09378650673907654,4.7846795005524346e-05
f9_v3,250.0,1.0,0.16883523960704486,3.642218543787533e-05
f9_v3,250.0,2.0,0.24516306479833602,6.919481983263477e-05
f9_v3,250.0,3.0,0.32081990367830376,7.086309132888855e-05
f9_v3,250.0,4.0,0.40075833425197466,5.666690162006965e-05
f9_v3,250.0,5.0,0.4839500182948237,3.646083828330134e-05
f9_v3,250.0,6.0,0.5559742496005284,7.201830896268012e-05
f9_v3,250.0,7.0,0.6264703683862084,7.7532711941414e-05
f9_v3,250.0,8.0,0.6924033855498672,9.959070192079213e-05
f9_v3,250.0,9.0,0.7538179981131422,4.37841962564787e-05
f9_v3,250.0,10.0,0.8112072831786319,7.048467311332816e-05
f9_v3,250.0,11.0,0.8666682304496989,5.1355221332950305e-05
f9_v3,250.0,12.0,0.8801378664083631,0.004395876576903274
f9_v3,250.0,13.0,0.860411118016223,0.01078922607267976
f9_v3,250.0,14.0,0.8847714636425247,0.012690339370527763
f9_v3,250.0,15.0,0.8487355352061995,0.02509282745061333
f9_v3,250.0,16.0,0.6832078483290921,0.0005364478072187693
f9_v3,250.0,17.0,0.6769260871558724,0.0005630051512404361
f9_v3,250.0,18.0,0.6735895929485644,0.0005626997855626486
f9_v3,250.0,19.0,0.6717569938949468,0.0004017802782696177
f9_v3,250.0,20.0,0.6746981194176126,0.0003836354632127668
f9_v3,300.0,-5.0,-0.22882370540119779,0.00011054025162576356
f9_v3,300.0,-4.0,-0.16810643920698762,0.00010606390896350751
f9_v3,300.0,-3.0,-0.1105027590204756,0.00010620447523468086
f9_v3,300.0,-2.0,-0.04713981961780099,0.00010370001645542124
f9_v3,300.0,-1.0,0.023841824770974792,0.00010809860201096218
f9_v3,300.0,0.0,0.09439158823354087,0.00011149693882887343
f9_v3,300.0,1.0,0.17121898759328846,0.0001182096256851723
f9_v3,300.0,2.0,0.24649232740074506,0.00011761019949711947
f9_v3,300.0,3.0,0.32070098822655996,9.975007577433713e-05
f9_v3,300.0,4.0,0.3919475087792644,9.716075924586109e-05
f9_v3,300.0,5.0,0.47186803659178056,0.0001208940263556789
f9_v3,300.0,6.0,0.5420933139690899,0.00012130347412983808
f9_v3,300.0,7.0,0.6119099058932742,0.0001135375574673227
f9_v3,300.0,8.0,0.6762508281206834,8.775199421936922e-05
f9_v3,300.0,9.0,0.7380672510869807,0.00010896541954435775
f9_v3,300.0,10.0,0.7974238811648824,9.047960506226254e-05
f9_v3,300.0,11.0,0.8514460448746091,8.415192178509927e-05
f9_v3,300.0,12.0,0.898611820851974,8.825325148254616e-05
f9_v3,300.0,13.0,0.9094344294856527,0.0036448601466842934
f9_v3,300.0,14.0,0.8823519508667104,0.010169085144504784
f9_v3,300.0,15.0,0.8654195784647524,0.019304964415692023
f9_v3,300.0,16.0,0.7803128530237731,0.006767430570863538
f9_v3,300.0,17.0,0.7377064457272666,0.00558827899568947
f9_v3,300.0,18.0,0.6867983950647781,0.0005105620494859675
f9_v3,300.0,19.0,0.6840512959347484,0.000520175281160297
f9_v3,300.0,20.0,0.6815400874620924,0.0004417230894159336
plate,200.0,-5.0,-0.06734445566689677,1.2220892790337664e-05
plate,200.0,-4.0,-0.0006314478538880933,1.9510009209842027e-05
plate,200.0,-3.0,0.03823976233697633,2.576713882465121e-05
plate,200.0,-2.0,0.07546079056853316,3.057516099995884e-05
plate,200.0,-1.0,0.14971525784257989,2.092474829384731e-05
plate,200.0,0.0,0.22733771525650862,1.5351114060119157e-05
plate,200.0,1.0,0.30139520350197235,1.3544712821507134e-05
plate,200.0,2.0,0.3758094198804024,1.213189028532518e-05
plate,200.0,3.0,0.44687427779011646,6.977913196814371e-06
plate,200.0,4.0,0.5167662916672499,5.146187766917869e-06
plate,200.0,5.0,0.5931090632047907,1.0806657906932902e-05
plate,200.0,6.0,0.6610302669933429,8.373348229163222e-06
plate,200.0,7.0,0.7279327746494824,1.2332993698777297e-05
plate,200.0,8.0,0.7951917513773931,9.728413938186227e-06
plate,200.0,9.0,0.863296096017393,1.696966411962219e-05
plate,200.0,10.0,0.9296579754205917,1.4227591545997607e-05
plate,200.0,11.0,0.9861604330214441,6.740222451872914e-06
plate,200.0,12.0,1.0330027631146357,6.8453214928425834e-06
plate,200.0,13.0,1.0758372646023504,4.686124741450433e-06
plate,200.0,14.0,1.0195111364484672,0.01314340608539584
plate,200.0,15.0,0.9500680052712028,0.026928391241388277
plate,200.0,16.0,0.9350163493869406,0.026745793729313454
plate,200.0,17.0,0.8081140034387445,0.0031798342512714484
plate,200.0,18.0,0.8013149859000396,0.0038672138123314157
plate,200.0,19.0,0.7514085178896488,0.0007719158296915929
plate,200.0,20.0,0.7457650878191954,0.0005547085341429416
plate,250.0,-5.0,-0.08071089344724837,2.0094697963717124e-05
plate,250.0,-4.0,0.003445021542306077,2.4480208310679266e-05
plate,250.0,-3.0,0.04931358431033935,5.91932374862244e-05
plate,250.0,-2.0,0.0882890696910446,5.154082562590529e-05
plate,250.0,-1.0,0.14919247966695826,3.661176552386781e-05
plate,250.0,0.0,0.22286354757104368,3.2975721680020657e-05
plate,250.0,1.0,0.30069008978893363,3.0655675675042227e-05
plate,250.0,2.0,0.3775510922687961,3.193772035620679e-05
plate,250.0,3.0,0.45199454446510257,3.05267846017366e-05
plate,250.0,4.0,0.523558780672004,3.280757302252044e-05
plate,250.0,5.0,0.6027708690606611,3.562513657391417e-05
plate,250.0,6.0,0.6738051467845286,3.728452186085784e-05
plate,250.0,7.0,0.7450331233047689,4.3089161449734136e-05
plate,250.0,8.0,0.8147360841174511,4.579602129360295e-05
plate,250.0,9.0,0.884509952445127,3.890200337442015e-05
plate,250.0,10.0,0.9513094237707501,4.581062882571015e-05
plate,250.0,11.0,1.0089491275994156,4.703975533737932e-05
plate,250.0,12.0,1.06144068501704,4.394968378891606e-05
plate,250.0,13.0,1.105675187703373,4.149954475467732e-05
plate,250.0,14.0,1.1187488054620336,0.005435374972060188
plate,250.0,15.0,1.033503962515029,0.01643585664378802
plate,250.0,16.0,1.0339093833684063,0.016880365189988245
plate,250.0,17.0,1.0317285830277179,0.015257121936871407
plate,250.0,18.0,0.9120434643767183,0.0011122795790775822
plate,250.0,19.0,0.9041645570922279,0.0010230039779279393
plate,250.0,20.0,0.85445157253444,0.0009757921759078334
plate,300.0,-5.0,-0.08218291779229872,2.0279630183535157e-05
plate,300.0,-4.0,0.007543618050031174,1.7300454030674487e-05
plate,300.0,-3.0,0.06668681630329222,1.8955407829972288e-05
plate,300.0,-2.0,0.10937307563478912,1.9854865608421536e-05
plate,300.0,-1.0,0.16451736516571194,1.6680796820635728e-05
plate,300.0,0.0,0.23624777818964654,1.0878832921039089e-05
