config,rpm,AoA,LD,LDvar
plate,200.0,0.0,2.592581088154773,0.13070282466733094
plate,200.0,1.0,3.2696017776935733,0.17577630612239256
plate,200.0,2.0,3.7992906246032567,0.19047884926184222
plate,200.0,3.0,4.183175584163841,0.19671836855201302
plate,200.0,4.0,4.466852624477678,0.17959969048854726
plate,200.0,5.0,4.7284492295025435,0.17191435875832478
plate,200.0,6.0,4.885774112952471,0.14246993031816865
plate,200.0,7.0,5.003761442307664,0.12542610951467245
plate,200.0,8.0,5.148804117051982,0.11204321576856757
plate,200.0,9.0,5.224836955759146,0.09486068095197858
plate,200.0,10.0,5.279078953194468,0.07881722073172027
plate,200.0,11.0,5.2286560799077355,0.0551922953921291
plate,200.0,12.0,5.099596676994004,0.04363328700155964
plate,200.0,13.0,5.002989450598175,0.03204974624131709
plate,200.0,14.0,4.288015114893836,0.7526925605471876
plate,200.0,15.0,3.716821260302519,1.1419654234703498
plate,200.0,16.0,3.4370788841682427,0.9955726392526992
plate,200.0,17.0,2.5124382677838764,0.0627712508364956
plate,200.0,18.0,2.3912936278075105,0.057183549650789145
plate,200.0,19.0,2.1309675651974516,0.009906677908863763
plate,200.0,20.0,2.022917387604699,0.006921116643648644
plate,250.0,-5.0,-1.2688278091282896,0.0761913663400898
plate,250.0,-4.0,0.04494835793494022,0.004513118331390599
plate,250.0,-3.0,0.6228222763090755,0.013950041883995928
plate,250.0,-2.0,1.0659051395850816,0.023333654221879063
plate,250.0,-1.0,1.7465884186726892,0.035342292317463664
plate,250.0,0.0,2.5170143712882385,0.07506858330300377
plate,250.0,1.0,3.2053754820569473,0.10485058476282288
plate,250.0,2.0,3.7199502265294124,0.10649656500913571
plate,250.0,3.0,4.108971536014631,0.10793363242156288
plate,250.0,4.0,4.378355541242183,0.10369083577929315
plate,250.0,5.0,4.6357158615153455,0.1001871870906166
plate,250.0,6.0,4.775348687492924,0.08928327391769716
plate,250.0,7.0,4.868068319880901,0.07663228733434574
plate,250.0,8.0,4.940231168462364,0.06742144353404389
plate,250.0,9.0,5.0256607582890895,0.06073696279701749
plate,250.0,10.0,5.037684348762393,0.052014110094700375
plate,250.0,11.0,4.962845952170061,0.042354425871872284
plate,250.0,12.0,4.889081925536288,0.03465724319499565
plate,250.0,13.0,4.790153681845863,0.030217653779761974
plate,250.0,14.0,4.5393728670763585,0.2935173019728043
plate,250.0,15.0,3.7798575759521977,0.6603741940379879
plate,250.0,16.0,3.5872958650382984,0.5866477449045484
plate,250.0,17.0,3.3947016817638467,0.47438710361486897
plate,250.0,18.0,2.6376713224025274,0.021156262614257508
plate,250.0,19.0,2.49134378409109,0.02548388118059016
plate,250.0,20.0,2.1656702422663456,0.01286349723839632
plate,300.0,-5.0,-1.6010279416587536,0.013524362735137376
plate,300.0,-4.0,0.1278231776084591,0.004880954260979296
plate,300.0,-3.0,0.992528399904118,0.004328416359498564
plate,300.0,-2.0,1.5243355484122258,0.005317826544957076
plate,300.0,-1.0,2.1510446202113096,0.007063850155368327
plate,300.0,0.0,2.915073688540982,0.006628285947359523
plate,300.0,1.0,3.5889773520746706,0.009157766005306607
plate,300.0,2.0,4.080888363130908,0.011714202297559017
plate,300.0,3.0,4.403547098409888,0.007398009282131459
plate,300.0,4.0,4.640751960622233,0.006555253768999318
plate,300.0,5.0,4.840482290921051,0.006115010156057401
plate,300.0,6.0,4.903541043401844,0.005481605980985093
plate,300.0,7.0,4.952313996681424,0.004289878339967899
plate,300.0,8.0,4.967105547662012,0.0029245707799607215
plate,300.0,9.0,4.970645290551752,0.003413362551021849
plate,300.0,10.0,4.924215137357638,0.0029688591735595807
plate,300.0,11.0,4.851026677407322,0.0024696579337609194
plate,300.0,12.0,4.739042356286681,0.0019983413023409832
plate,300.0,13.0,4.63646945044389,0.002275781794140862
plate,300.0,14.0,4.497531468433592,0.0021688689623950213
plate,300.0,15.0,3.662566817519937,0.4215104359413713
plate,300.0,16.0,3.4347819631499137,0.4022023255503879
plate,300.0,17.0,3.110770567035016,0.5274663038900922
plate,300.0,18.0,2.2254814705874906,0.006785044592659828
plate,300.0,19.0,2.125585021736894,0.005035731374393077
plate,300.0,20.0,2.0365832974561404,0.004051638014395555
