config,rpm,AoA,CD,CDvar
f9_v15,300.0,18.0,0.26845210137497266,7.822509500932779e-05
f9_v15,300.0,19.0,0.2836295534814684,7.556135300353007e-05
f9_v15,300.0,20.0,0.2958526963151725,6.045097226099115e-05
f9_v2,300.0,-5.0,0.08790782181559577,9.625491089159408e-06
f9_v2,300.0,-4.0,0.08484778331171569,7.683660815074716e-06
f9_v2,300.0,-3.0,0.07864038088735611,9.527214848916558e-06
f9_v2,300.0,-2.0,0.07437622629207749,7.147578853839408e-06
f9_v2,300.0,-1.0,0.07236006731156598,7.0822352446170195e-06
f9_v2,300.0,0.0,0.0718200154714391,6.260198588835334e-06
f9_v2,300.0,1.0,0.07250433119489265,7.661118455254965e-06
f9_v2,300.0,2.0,0.07410547123083822,6.540855605771265e-06
f9_v2,300.0,3.0,0.0768690761015936,7.292171390816847e-06
f9_v2,300.0,4.0,0.07983284458623709,6.939421246786316e-06
f9_v2,300.0,5.0,0.08285151801168131,6.515137328219837e-06
f9_v2,300.0,6.0,0.08614147044786125,6.322582741518216e-06
f9_v2,300.0,7.0,0.09018552168278507,5.919774196777002e-06
f9_v2,300.0,8.0,0.09440448385028971,5.216709959117541e-06
f9_v2,300.0,9.0,0.0996159361390757,4.932272742035174e-06
f9_v2,300.0,10.0,0.10599393988843347,5.187645240769589e-06
f9_v2,300.0,11.0,0.11308185131504578,8.47400743712365e-06
f9_v2,300.0,12.0,0.12126420273535662,1.0564449368722345e-05
f9_v2,300.0,13.0,0.13064362931897147,1.4492957949234968e-05
f9_v2,300.0,14.0,0.15963141230509303,0.00028272877800128763
f9_v2,300.0,15.0,0.1855409885731876,0.0009981494132738375
f9_v2,300.0,16.0,0.22533195298133024,0.000168230537979055
f9_v2,300.0,17.0,0.2496999667038881,0.0001607602109637345
f9_v2,300.0,18.0,0.27104675656681104,6.973541097798185e-05
f9_v2,300.0,19.0,0.28361204242261523,4.880346746396262e-05
f9_v2,300.0,20.0,0.29794853791335557,4.1945625178311944e-05
f9_v3,200.0,-5.0,0.10441756832966423,0.00026563668200160604
f9_v3,200.0,-4.0,0.09787137017369008,0.00024474620762030593
f9_v3,200.0,-3.0,0.09357872056894449,0.00022372126466485594
f9_v3,200.0,-2.0,0.09113072740155755,0.00021156090617075975
f9_v3,200.0,-1.0,0.09133787894467855,0.00019770922455382566
f9_v3,200.0,0.0,0.0921992881859274,0.00019401016593049975
f9_v3,200.0,1.0,0.09283688759047398,0.00017950482445602985
f9_v3,200.0,2.0,0.0966230200144348,0.00016870165449211501
f9_v3,200.0,3.0,0.1010780790927547,0.0001499186481714857
f9_v3,200.0,4.0,0.1063917474100561,0.00014492278543571014
f9_v3,200.0,5.0,0.11031932439589232,0.00013693570343293075
f9_v3,200.0,6.0,0.11379834585270537,0.00013810197375944524
f9_v3,200.0,7.0,0.12081103941770163,0.00012500924891078858
f9_v3,200.0,8.0,0.12930350145585165,0.0001140767182279469
f9_v3,200.0,9.0,0.13759566605849868,0.00010733795633155773
f9_v3,200.0,10.0,0.14702202117645283,0.00010186686396522997
f9_v3,200.0,11.0,0.15659740258308028,9.739769896444965e-05
f9_v3,200.0,12.0,0.18993928022240725,0.0008832496362250139
f9_v3,200.0,13.0,0.2064473341037262,0.001100206295402233
f9_v3,200.0,14.0,0.26234351454809873,0.0001166798220562539
f9_v3,200.0,15.0,0.2796064743910872,0.00011594007677660778
f9_v3,200.0,16.0,0.29505704658380005,0.00013310600656211098
f9_v3,200.0,17.0,0.30943650166854425,0.00012816945214829466
f9_v3,200.0,18.0,0.3221947931786088,0.00013380334476616618
f9_v3,200.0,19.0,0.3369908387547578,0.0001239993599138104
f9_v3,200.0,20.0,0.35171652558356675,0.00012454320642364607
f9_v3,250.0,-5.0,0.09953398852706184,7.144853558514226e-05
f9_v3,250.0,-4.0,0.09540270097688612,6.633030240015847e-05
f9_v3,250.0,-3.0,0.09047236858527524,6.267466735343517e-05
f9_v3,250.0,-2.0,0.08677741786863111,6.123772429364846e-05
f9_v3,250.0,-1.0,0.08521321263434999,5.860874021884599e-05
f9_v3,250.0,0.0,0.08533837040095325,5.560073895872824e-05
f9_v3,250.0,1.0,0.08675208618185631,5.085388611284693e-05
f9_v3,250.0,2.0,0.08931506347064651,4.6725693068513005e-05
f9_v3,250.0,3.0,0.09204595896822539,4.6321272049480605e-05
f9_v3,250.0,4.0,0.0962930238518281,4.458328988162128e-05
f9_v3,250.0,5.0,0.10008387881883986,4.240490387383596e-05
f9_v3,250.0,6.0,0.10577485331829396,4.2629241919842165e-05
f9_v3,250.0,7.0,0.11173262910710775,4.056799630362244e-05
f9_v3,250.0,8.0,0.11911047961897249,3.988286842544324e-05
f9_v3,250.0,9.0,0.127047169130768,3.821593286005263e-05
f9_v3,250.0,10.0,0.1356614297983917,3.780731452044363e-05
f9_v3,250.0,11.0,0.14544089631046156,3.6948078836533485e-05
f9_v3,250.0,12.0,0.16617445908421588,0.00047353446540239946
f9_v3,250.0,13.0,0.19319201304634287,0.0008759710794661627
f9_v3,250.0,14.0,0.205694658334328,0.0009127398993559094
f9_v3,250.0,15.0,0.2302644004239007,0.0015510106026071127
f9_v3,250.0,16.0,0.28575362975196283,9.272687878405577e-05
f9_v3,250.0,17.0,0.29910856715167916,8.767266180627642e-05
f9_v3,250.0,18.0,0.31314315040813,9.430234101927778e-05
f9_v3,250.0,19.0,0.32734334151569483,8.901808377018001e-05
f9_v3,250.0,20.0,0.3424534770373732,9.51566825313115e-05
f9_v3,300.0,-5.0,0.07665437220599662,1.0587024575433475e-05
f9_v3,300.0,-4.0,0.07686883727132142,7.990979580312863e-06
f9_v3,300.0,-3.0,0.07330622624078789,8.436789040499625e-06
f9_v3,300.0,-2.0,0.06978750519735247,9.28289293008779e-06
f9_v3,300.0,-1.0,0.0701317968916173,8.51982562858912e-06
f9_v3,300.0,0.0,0.0703973648120946,8.274606277142447e-06
f9_v3,300.0,1.0,0.07196013981073901,8.043963764399398e-06
f9_v3,300.0,2.0,0.07462633801605732,8.4510035598327e-06
f9_v3,300.0,3.0,0.07855287214859752,8.034805875273763e-06
f9_v3,300.0,4.0,0.0839990774393316,8.227940603517769e-06
f9_v3,300.0,5.0,0.08894629795642373,8.14504810131502e-06
f9_v3,300.0,6.0,0.09563030081849398,7.793710532955526e-06
f9_v3,300.0,7.0,0.10215767303887248,8.584577695853439e-06
f9_v3,300.0,8.0,0.10936675787287381,9.047505701775414e-06
f9_v3,300.0,9.0,0.11722978417416435,9.36496961300641e-06
f9_v3,300.0,10.0,0.1264163094694572,9.448327846930435e-06
f9_v3,300.0,11.0,0.13686929431118153,9.797986858434058e-06
f9_v3,300.0,12.0,0.14759590099020792,9.299894067250558e-06
f9_v3,300.0,13.0,0.1686572611564026,0.0004134452875463648
f9_v3,300.0,14.0,0.19593792844627037,0.0006895723214322973
f9_v3,300.0,15.0,0.219123027627128,0.0012750949213519343
f9_v3,300.0,16.0,0.26073901720668463,0.00027372579167063557
f9_v3,300.0,17.0,0.28308794518282643,0.0002484818296850287
f9_v3,300.0,18.0,0.30255607556306524,8.396705269200101e-05
f9_v3,300.0,19.0,0.3162501049445521,9.262863489276634e-05
f9_v3,300.0,20.0,0.3294571695717427,8.618917898780922e-05
plate,200.0,-5.0,0.07155924111783721,0.000257710822549268
plate,200.0,-4.0,0.0786926073586045,0.00023980083383076127
plate,200.0,-3.0,0.08523179590106524,0.00022649799390905056
plate,200.0,-2.0,0.08505526563325132,0.0002103247915046424
plate,200.0,-1.0,0.08664632044481019,0.0001921208381395459
plate,200.0,0.0,0.08950038989170372,0.00017179248302887532
plate,200.0,1.0,0.09378784940109153,0.00015857807536629224
plate,200.0,2.0,0.10028357469058136,0.00014288645670075032
plate,200.0,3.0,0.10805254399998054,0.00013433896124373862
plate,200.0,4.0,0.11672107068667403,0.0001187648381641546
plate,200.0,5.0,0.12635974845453482,0.00011191221829296089
plate,200.0,6.0,0.13607482274271768,0.0001017517566965289
plate,200.0,7.0,0.14616674242579872,9.522735831154938e-05
plate,200.0,8.0,0.15506463893277864,9.1957478489016e-05
plate,200.0,9.0,0.16576332580127145,8.229642041193095e-05
plate,200.0,10.0,0.17656820629077127,7.694371035664521e-05
plate,200.0,11.0,0.18897395292799604,6.693879270641984e-05
plate,200.0,12.0,0.20289207142543877,6.371649510807814e-05
plate,200.0,13.0,0.21531273016018795,5.877811277798692e-05
plate,200.0,14.0,0.24312066981001312,0.0007829351190069429
plate,200.0,15.0,0.2653092196595113,0.0012672491583673282
plate,200.0,16.0,0.2822170818708866,0.0013288094342127758
plate,200.0,17.0,0.3230455401733004,0.0003994545893483742
plate,200.0,18.0,0.33626943901646295,0.0003511306039846052
plate,200.0,19.0,0.3532424420289581,0.0003399024928348375
plate,200.0,20.0,0.36917301625136933,0.0002847547251721901
plate,250.0,-5.0,0.06601238966327445,0.00013258502782462512
plate,250.0,-4.0,0.07314066956637007,0.00012312203931628317
plate,250.0,-3.0,0.080351869595162,0.00012060568686221422
plate,250.0,-2.0,0.08410028147581174,0.00011496084556163221
plate,250.0,-1.0,0.086465265064841,0.00010652419150059483
plate,250.0,0.0,0.08961390401809892,0.00010252619086459289
plate,250.0,1.0,0.09478561904520107,9.717556887440525e-05
plate,250.0,2.0,0.10232910940893702,9.288934520270973e-05
plate,250.0,3.0,0.11075113365470193,8.943808419476075e-05
