config,rpm,AoA,Cm,Cmvar
f9_v0,300.0,1.0,-0.026987808225264635,1.3838825006175906e-06
f9_v0,300.0,2.0,-0.02860856394749961,1.0394207729668901e-06
f9_v0,300.0,3.0,-0.029569609377590737,1.8120091388469384e-06
f9_v0,300.0,4.0,-0.03053069895401924,2.1692057121788763e-06
f9_v0,300.0,5.0,-0.03110641080524774,2.4119073196599553e-06
f9_v0,300.0,6.0,-0.03214856735962227,2.451938512446468e-06
f9_v0,300.0,7.0,-0.03284296381181392,3.5156278803908894e-06
f9_v0,300.0,8.0,-0.03372709967848346,4.033940099546657e-06
f9_v0,300.0,9.0,-0.03500825085862982,4.288718510624136e-06
f9_v0,300.0,10.0,-0.036633823256104085,4.972675743258348e-06
f9_v0,300.0,11.0,-0.03842296680159219,8.469874173997253e-06
f9_v0,300.0,12.0,-0.04212528739016558,7.418417609434657e-06
f9_v0,300.0,13.0,-0.045313354880230514,5.575840210057158e-06
f9_v0,300.0,14.0,-0.06442885817282512,0.00020073023244107706
f9_v0,300.0,15.0,-0.06869443345087309,0.00021686321964761547
f9_v0,300.0,16.0,-0.08755862240008679,0.0002916442682452982
f9_v0,300.0,17.0,-0.12247453991704237,6.597083188644583e-05
f9_v0,300.0,18.0,-0.13160777512522273,2.4695208135296358e-05
f9_v0,300.0,19.0,-0.1353663446539425,1.6953945268048926e-05
f9_v0,300.0,20.0,-0.13810297002066937,1.2607194754307917e-05
f9_v15,300.0,-5.0,-0.03731392538298179,2.117767706803812e-06
f9_v15,300.0,-4.0,-0.017548502201559197,1.8921770603815454e-06
f9_v15,300.0,-3.0,-0.01493019684047536,1.6599207929677333e-06
f9_v15,300.0,-2.0,-0.019349747126891317,1.428207452738436e-06
f9_v15,300.0,-1.0,-0.024868447746547617,1.8231137602738581e-06
f9_v15,300.0,0.0,-0.028322097338033418,2.3264885011322004e-06
f9_v15,300.0,1.0,-0.03016524282435686,3.5693115383468744e-06
f9_v15,300.0,2.0,-0.031579705673343283,3.922721660845682e-06
f9_v15,300.0,3.0,-0.033201698763410926,4.546177173063768e-06
f9_v15,300.0,4.0,-0.03488432655017347,5.492991796463953e-06
f9_v15,300.0,5.0,-0.036610575656266645,5.947080120699704e-06
f9_v15,300.0,6.0,-0.03806741143313809,7.657882999386113e-06
f9_v15,300.0,7.0,-0.039841893599734494,1.1361099475445806e-05
f9_v15,300.0,8.0,-0.040986851859521924,1.6321191381448668e-05
f9_v15,300.0,9.0,-0.04199224956009799,1.787532327382903e-05
f9_v15,300.0,10.0,-0.042663078133014704,1.5304028743105448e-05
f9_v15,300.0,11.0,-0.04414883016116488,1.6509542789430624e-05
f9_v15,300.0,12.0,-0.04677806678639602,2.242991762960539e-05
f9_v15,300.0,13.0,-0.04985758358416974,1.2191558223396151e-05
f9_v15,300.0,14.0,-0.06908111598910843,0.00020517453831627052
f9_v15,300.0,15.0,-0.08447465645527164,0.0007368019665971589
f9_v15,300.0,16.0,-0.1077707190034951,0.00018483180866237485
f9_v15,300.0,17.0,-0.11469724638303133,0.0002947048293243731
f9_v15,300.0,18.0,-0.13681376466075873,2.1968185311766793e-05
f9_v15,300.0,19.0,-0.14070575730377777,2.1887770798960587e-05
f9_v15,300.0,20.0,-0.14251206716716983,1.2863077335762774e-05
f9_v2,300.0,-5.0,-0.03650853122734688,4.847790051971293e-06
f9_v2,300.0,-4.0,-0.0170598576036568,4.751457547939389e-06
f9_v2,300.0,-3.0,-0.014599435369135811,2.0385828813914845e-06
f9_v2,300.0,-2.0,-0.018591914341954414,2.5508613418624204e-06
f9_v2,300.0,-1.0,-0.023847888280125743,3.46492100191527e-06
f9_v2,300.0,0.0,-0.02764508736815485,2.2928634624038546e-06
f9_v2,300.0,1.0,-0.029458590266764836,3.1387147471824665e-06
f9_v2,300.0,2.0,-0.031215847891759956,3.7293228351109964e-06
f9_v2,300.0,3.0,-0.033117563245764745,5.045429312013182e-06
f9_v2,300.0,4.0,-0.03546646936840518,6.4211343479081815e-06
f9_v2,300.0,5.0,-0.03801908912675742,8.711504053487541e-06
f9_v2,300.0,6.0,-0.04002205260850274,1.3163780285617837e-05
f9_v2,300.0,7.0,-0.04179272947116106,1.702623524216232e-05
f9_v2,300.0,8.0,-0.04287544585823259,2.386474685908996e-05
f9_v2,300.0,9.0,-0.04425257593193852,2.915523353699906e-05
f9_v2,300.0,10.0,-0.04577003412413408,3.572579391365483e-05
f9_v2,300.0,11.0,-0.04703783376759018,4.231135967582407e-05
f9_v2,300.0,12.0,-0.049255751679802624,2.915245754681388e-05
f9_v2,300.0,13.0,-0.05201410282980974,1.8284477241093835e-05
f9_v2,300.0,14.0,-0.07040999909201175,0.0001718749775360868
f9_v2,300.0,15.0,-0.08605237301800267,0.000778098315295594
f9_v2,300.0,16.0,-0.11213452700115659,0.0001383289799255627
f9_v2,300.0,17.0,-0.1259859331411074,0.0001554607147170663
f9_v2,300.0,18.0,-0.13746614694030376,2.3717529672138757e-05
f9_v2,300.0,19.0,-0.1391582781024778,9.931779164965871e-06
f9_v2,300.0,20.0,-0.1424314147707162,9.03887881662654e-06
f9_v3,200.0,-5.0,0.0051444972681298495,5.29671708832662e-05
f9_v3,200.0,-4.0,0.004701011516756454,3.917948433531786e-05
f9_v3,200.0,-3.0,-0.0005733082017692925,3.5297411745979743e-05
f9_v3,200.0,-2.0,-0.004425913094260754,3.142081953975682e-05
f9_v3,200.0,-1.0,-0.009702672414814177,2.9307053076134385e-05
f9_v3,200.0,0.0,-0.014963786210670153,2.4340744235503975e-05
f9_v3,200.0,1.0,-0.019496379293291496,2.1608445252223577e-05
f9_v3,200.0,2.0,-0.02325195820789171,2.1006677770545856e-05
f9_v3,200.0,3.0,-0.025576730300504894,1.9227594685197015e-05
f9_v3,200.0,4.0,-0.027938683375270803,1.577928072407149e-05
f9_v3,200.0,5.0,-0.028612113218151207,1.3333548179084715e-05
f9_v3,200.0,6.0,-0.028503012908055694,1.1717500607503015e-05
f9_v3,200.0,7.0,-0.030027446494340988,1.2419923467443174e-05
f9_v3,200.0,8.0,-0.032469816639213625,1.2102798350065104e-05
f9_v3,200.0,9.0,-0.03502162418472352,1.166412361239574e-05
f9_v3,200.0,10.0,-0.03751979806444581,1.13829106304951e-05
f9_v3,200.0,11.0,-0.039513587783961135,9.727820893263189e-06
f9_v3,200.0,12.0,-0.06426838035690924,0.00047284522557193136
f9_v3,200.0,13.0,-0.07121722432995217,0.000700239362588414
f9_v3,200.0,14.0,-0.11484876184525208,2.2572022610915205e-05
f9_v3,200.0,15.0,-0.11988987611680249,2.2991616732354968e-05
f9_v3,200.0,16.0,-0.12305218879085866,2.324937053066263e-05
f9_v3,200.0,17.0,-0.12454328738931313,2.392753667233254e-05
f9_v3,200.0,18.0,-0.12534308727610577,2.06848906589392e-05
f9_v3,200.0,19.0,-0.12680548902724,2.0385312126652563e-05
f9_v3,200.0,20.0,-0.1283594700667224,1.854272292464142e-05
f9_v3,250.0,-5.0,-0.011058216823785343,2.8475507975094274e-05
f9_v3,250.0,-4.0,0.0004641094349497621,1.9543812584765055e-05
f9_v3,250.0,-3.0,-0.002825951282958397,1.719329600185255e-05
f9_v3,250.0,-2.0,-0.007774681619669308,1.4896662673986476e-05
f9_v3,250.0,-1.0,-0.01214428633218662,1.3991180752801036e-05
f9_v3,250.0,0.0,-0.017679027460374308,1.0493984015022147e-05
f9_v3,250.0,1.0,-0.02132011999855948,8.802825345216192e-06
f9_v3,250.0,2.0,-0.02315458748815147,7.452006086305806e-06
f9_v3,250.0,3.0,-0.02377353400631878,6.117404729657626e-06
f9_v3,250.0,4.0,-0.025258439708350663,4.159363306580243e-06
f9_v3,250.0,5.0,-0.02688072867731072,3.423169302730513e-06
f9_v3,250.0,6.0,-0.02906224755620254,4.396828556785066e-06
f9_v3,250.0,7.0,-0.03156107898365891,5.824053947808363e-06
f9_v3,250.0,8.0,-0.03415301390436818,7.044234183123213e-06
f9_v3,250.0,9.0,-0.03686875830648998,6.728346007292406e-06
f9_v3,250.0,10.0,-0.03963792714712093,6.513045223738145e-06
f9_v3,250.0,11.0,-0.04211092578721525,5.377075733371586e-06
f9_v3,250.0,12.0,-0.05470840483882724,0.00030730933000834066
f9_v3,250.0,13.0,-0.07275963615889725,0.0006809255442771598
f9_v3,250.0,14.0,-0.07572128834091454,0.0007218594336493408
f9_v3,250.0,15.0,-0.08703852704826366,0.0012001772906510074
f9_v3,250.0,16.0,-0.1295379039483195,2.548350911299054e-05
f9_v3,250.0,17.0,-0.13117106532962408,2.9365844359063463e-05
f9_v3,250.0,18.0,-0.13224274336178332,2.725413167705853e-05
f9_v3,250.0,19.0,-0.13307426959193985,2.140399833219404e-05
f9_v3,250.0,20.0,-0.1347360459027035,2.155363648179662e-05
f9_v3,300.0,-5.0,-0.038908210848418605,2.609533354597974e-06
f9_v3,300.0,-4.0,-0.019069823916758367,2.574283748391992e-06
f9_v3,300.0,-3.0,-0.014164669393709257,2.395320402741741e-06
f9_v3,300.0,-2.0,-0.018149279720119715,2.209672508747983e-06
f9_v3,300.0,-1.0,-0.026456644033432793,1.8702339894564072e-06
f9_v3,300.0,0.0,-0.02902866682734933,1.2781675401278394e-06
f9_v3,300.0,1.0,-0.030965629110374305,9.898342557591987e-07
f9_v3,300.0,2.0,-0.03230303873069919,1.014555044502873e-06
f9_v3,300.0,3.0,-0.03379937420404508,9.464131706654822e-07
f9_v3,300.0,4.0,-0.03664622506895654,7.984041133483601e-07
f9_v3,300.0,5.0,-0.0388282867432094,6.983559323905234e-07
f9_v3,300.0,6.0,-0.04099086012703622,5.820645468020292e-07
f9_v3,300.0,7.0,-0.04437443791562928,1.0103416274154055e-06
f9_v3,300.0,8.0,-0.0467555736266178,1.3821577100336884e-06
f9_v3,300.0,9.0,-0.04970007748562616,1.1647511499809196e-06
f9_v3,300.0,10.0,-0.05292627443699017,1.2006474372587182e-06
f9_v3,300.0,11.0,-0.05559866190043327,1.360259421835739e-06
f9_v3,300.0,12.0,-0.057966265432371045,1.3283393375290948e-06
f9_v3,300.0,13.0,-0.07048713744392958,0.00033445397253087616
f9_v3,300.0,14.0,-0.08907655395687351,0.0007089468249757798
f9_v3,300.0,15.0,-0.09989217269519877,0.0011546858952811087
f9_v3,300.0,16.0,-0.12578326324002712,0.00031897154904955705
f9_v3,300.0,17.0,-0.13716407854330742,0.0002708016640362731
f9_v3,300.0,18.0,-0.1465435917267298,2.7281236729592623e-05
f9_v3,300.0,19.0,-0.14772436722148727,2.566990597672554e-05
f9_v3,300.0,20.0,-0.14864384940953068,2.3749005205303744e-05
plate,200.0,-5.0,-0.07913917887990364,3.1305321982096685e-05
plate,200.0,-4.0,-0.06994117080251917,2.6734354564339737e-05
plate,200.0,-3.0,-0.052098315271938436,2.367608025601374e-05
plate,200.0,-2.0,-0.040772000913656126,2.2198737871589062e-05
plate,200.0,-1.0,-0.04875900590943656,2.058478801367785e-05
plate,200.0,0.0,-0.05671185511239355,1.7317000620177755e-05
plate,200.0,1.0,-0.0632848950722916,1.5137743248219793e-05
plate,200.0,2.0,-0.06737181383183884,1.389515207132312e-05
plate,200.0,3.0,-0.07003221375221608,1.2487864097515577e-05
plate,200.0,4.0,-0.07189124381469217,1.1510374609628723e-05
plate,200.0,5.0,-0.07307691151122024,1.0573208531949028e-05
plate,200.0,6.0,-0.07321592775771431,9.179227337380359e-06
plate,200.0,7.0,-0.07266132006231585,8.136587418217309e-06
plate,200.0,8.0,-0.07168915978474583,6.88676888905317e-06
plate,200.0,9.0,-0.07086845817184184,6.258633479060102e-06
plate,200.0,10.0,-0.07014151281640173,5.471247345461411e-06
plate,200.0,11.0,-0.06918681581532696,5.260447088646467e-06
plate,200.0,12.0,-0.06822085559157037,4.575145958834187e-06
plate,200.0,13.0,-0.06684250300571477,3.9227885042186655e-06
plate,200.0,14.0,-0.08190667915566384,0.0004756860939822142
plate,200.0,15.0,-0.09058967768998961,0.0007229126061023657
plate,200.0,16.0,-0.09408326976794017,0.0008306685102854589
plate,200.0,17.0,-0.12211122549806944,9.429819103157421e-05
plate,200.0,18.0,-0.12141523655633606,8.141070024051741e-05
plate,200.0,19.0,-0.1235438408767125,5.487570766435477e-05
plate,200.0,20.0,-0.12450024472632608,3.615487210752558e-05
plate,250.0,-5.0,-0.07969769067080282,1.186492179944172e-05
plate,250.0,-4.0,-0.08133451941042559,1.1021490574737158e-05
plate,250.0,-3.0,-0.06520753644929926,1.1384805296311703e-05
plate,250.0,-2.0,-0.049904108368067315,1.104039059759724e-05
plate,250.0,-1.0,-0.04936625671720327,8.559150235371404e-06
plate,250.0,0.0,-0.055268324417431784,8.319696058080312e-06
plate,250.0,1.0,-0.06163506963277907,7.5549157806120266e-06
plate,250.0,2.0,-0.06695442397255233,6.564945392238123e-06
plate,250.0,3.0,-0.0705602344990569,6.003913499605143e-06
plate,250.0,4.0,-0.07291983810974459,5.95941160376404e-06
plate,250.0,5.0,-0.07468976106472024,6.278165500564205e-06
plate,250.0,6.0,-0.0757479813249434,6.0114215906208924e-06
plate,250.0,7.0,-0.07640336139317691,5.560599732920934e-06
plate,250.0,8.0,-0.07673123154211585,5.711317158717898e-06
plate,250.0,9.0,-0.07684705289790465,5.11294679336999e-06
plate,250.0,10.0,-0.07715814132668879,4.842806926114491e-06
plate,250.0,11.0,-0.07723788555385888,4.868598238974447e-06
plate,250.0,12.0,-0.07716076612505135,5.257340990999442e-06
plate,250.0,13.0,-0.07666578654021677,4.976358055273485e-06
plate,250.0,14.0,-0.0810373805188157,0.00018852727004151822
plate,250.0,15.0,-0.09957477541482126,0.0006107229326555848
plate,250.0,16.0,-0.10120284871413238,0.0005955399620660441
plate,250.0,17.0,-0.10329663049388463,0.0005364893074785251
plate,250.0,18.0,-0.1263433040077866,8.590870331319239e-05
plate,250.0,19.0,-0.12856793334518693,9.004721286426433e-05
plate,250.0,20.0,-0.14107488226931728,8.215460198261806e-05
plate,300.0,-5.0,-0.08223599833664427,1.2302676233460728e-06
plate,300.0,-4.0,-0.08800683426170705,1.1729249021187842e-06
plate,300.0,-3.0,-0.07782847540080301,2.33450882998182e-06
plate,300.0,-2.0,-0.06336063959110536,2.2420355466804972e-06
plate,300.0,-1.0,-0.057579265870559546,1.9641056097112666e-06
plate,300.0,0.0,-0.061046172300149845,1.861830208263322e-06
plate,300.0,1.0,-0.06663684191875394,1.547967175773954e-06
plate,300.0,2.0,-0.07218920956324341,1.374978624622212e-06
plate,300.0,3.0,-0.07637416617346475,1.04376218345664e-06
plate,300.0,4.0,-0.07923228801437524,6.946898251962017e-07
plate,300.0,5.0,-0.08124981248520366,4.62750488016666e-07
plate,300.0,6.0,-0.08251633034606944,3.8371606301175476e-07
plate,300.0,7.0,-0.08337835330159911,3.2782776859048514e-07
plate,300.0,8.0,-0.08390968760338721,2.4738286177734843e-07
plate,300.0,9.0,-0.08432239645338944,2.1442470156753716e-07
plate,300.0,10.0,-0.0844296898603508,2.5159611747036735e-07
plate,300.0,11.0,-0.08428897872163518,2.3811634178165816e-07
plate,300.0,12.0,-0.08370501387605399,2.5388287385524746e-07
plate,300.0,13.0,-0.08261522438543244,3.084307436932786e-07
plate,300.0,14.0,-0.08127465129351741,8.014586863477806e-07
plate,300.0,15.0,-0.10649540776841256,0.0006320749849181398
plate,300.0,16.0,-0.10992588991816143,0.0006448704147124758
plate,300.0,17.0,-0.11456534627503313,0.0007319713563378794
plate,300.0,18.0,-0.14147468650501271,5.7841875523428324e-05
plate,300.0,19.0,-0.1403535550346541,5.309371221092593e-05
plate,300.0,20.0,-0.13978153189089648,4.613217620766622e-05
